classification,Closed_PnL_mean,Closed_PnL_median,Start_Position_mean,Start_Position_median,volume_mean,volume_median
Extreme Fear,1.8916322231298366,0.0,21902.797504816543,10598.08,263437835.0015634,358947.8275776
Extreme Greed,205.81634505888633,0.96048,24593.24115989713,2155.348602,92375025.74130003,133225.0
Fear,128.28795029591174,0.0,8146.358517624413,11.36776,747084528.3532934,495447.22333119996
Greed,53.988003244420824,0.0,37276.787810983165,6.633095000000001,561659893.8524622,455733.614899
Neutral,27.08880333091437,0.0,89199.58740613675,3105.4959465,160636037.69751137,169588.122294
